from_genius_id,to_genius_id,type
8796720,9071086,interpolates
9057600,10407441,samples
9061848,4627795,samples
9061848,8158076,samples
9061848,2452,samples
9030092,3708860,samples
9063946,9066320,samples
9063955,6285721,samples
4535557,3089179,interpolates
9063954,9066305,samples
9063958,6639207,samples
5122612,5123161,samples
9037156,4121518,interpolates
9037162,136932,interpolates
8946040,8106141,interpolates
8583612,1398,samples
8583612,35844,samples
8583612,79,samples
8583612,3650,samples
8583612,2361,samples
8583612,78107,samples
8583612,1447,interpolates
8952768,5123,interpolates
8804671,529,interpolates
8760939,21392,samples
8760939,78107,samples
8760939,704,samples
8956549,4159134,samples
8956538,23066,samples
8956538,1398,samples
8956538,5103,samples
8956538,4152,samples
8956538,31311,samples
8956538,26361,samples
8743103,6567355,interpolates
8956442,6576,samples
8956442,20648,samples
8956442,5067,samples
8956442,21319,samples
8956442,7905,samples
8956442,3088,samples
8978898,2111815,samples
9084946,9994333,samples
9041822,4075,samples
4232172,6206600,samples
9075703,1935889,samples
8925534,738,interpolates
9086641,4411444,interpolates
6478833,98867,interpolates
7254908,9180339,interpolates
251610,1003692,interpolates
9058441,227193,interpolates
9081194,8271095,interpolates
9085309,82902,interpolates
109096,784980,interpolates
109096,706321,interpolates
9108324,2896500,interpolates
9078560,11417009,interpolates
4980703,4269039,samples
9046027,1463185,samples
5160841,4247565,samples
8870513,10240099,samples
9065466,110449,interpolates
9801535,98603,samples
9109121,2235406,samples
9109121,9129631,samples
8017374,140433,samples
9109066,2421777,samples
9045006,590,samples
9045006,1798,samples
9045006,81159,samples
9045006,2845980,samples
9109265,483006,interpolates
9080217,155,samples
2840832,9875803,samples
9081562,5358945,interpolates
8219838,4855694,samples
9130084,601770,samples
9130084,601770,interpolates
9149138,529,samples
1557,95836,samples
1557,780,samples
9059682,9272551,interpolates
9121920,9289860,interpolates
9135209,2179928,samples
8946033,113544,interpolates
8956162,19348,interpolates
9081466,4640157,interpolates
9129506,273992,interpolates
9129506,5331548,interpolates
9149479,159257,samples
9088916,415843,interpolates
9153655,152350,samples
9151882,6403410,interpolates
9323857,9346454,interpolates
9090602,2180304,samples
32167,1628822,samples
8890591,151378,interpolates
9130181,1478839,interpolates
9121594,2229746,samples
9121594,2429153,samples
9162050,3516000,samples
9138823,30280,samples
7916903,6939300,interpolates
9153898,734153,interpolates
8991340,81345,samples
8991340,1596,samples
9030287,3180,samples
9030287,177239,samples
9153879,2270695,samples
8932291,51831,interpolates
8932291,8270928,interpolates
8932291,6639049,interpolates
8932291,99094,interpolates
8932291,140967,interpolates
8932291,10807308,interpolates
9152241,49781,samples
9152241,46543,samples
9152241,728651,interpolates
9152241,4535557,interpolates
9152241,9981943,interpolates
9152241,9981948,interpolates
9152241,9764112,interpolates
9151365,204507,samples
9141172,3003630,interpolates
9123275,1439037,samples
9189109,954985,samples
9189109,5588595,interpolates
9176549,329470,samples
9176543,3257316,interpolates
9125797,191320,samples
472686,1533902,interpolates
3414253,66833,samples
9196951,9200639,samples
9196952,8136201,interpolates
9196952,3267773,interpolates
9170073,32915,samples
8225354,154169,samples
8225354,8240585,interpolates
4423776,7756842,samples
4423776,820371,interpolates
9111234,150060,interpolates
8804650,1463574,interpolates
9141060,691321,samples
9141060,9168552,interpolates
9168106,11248464,samples
9168862,574916,interpolates
9173262,6568510,samples
9173262,8127535,samples
828799,11424929,interpolates
9160899,836000,interpolates
9203250,2263723,interpolates
9203250,3580132,interpolates
9203250,3723048,interpolates
9203250,2464123,interpolates
9105621,7802828,interpolates
8926287,6591973,samples
8926287,28580,samples
8941649,1854908,interpolates
9161218,145628,interpolates
9161218,318450,interpolates
9168458,278532,interpolates
9178861,5471245,samples
9178861,4152223,samples
9178861,8110888,interpolates
9178861,8302343,interpolates
9178861,7180875,interpolates
9178861,525,interpolates
9041746,8968620,samples
516910,8213281,interpolates
9194384,7437163,interpolates
9191117,1155457,interpolates
8946039,1755326,samples
9209114,3046517,interpolates
64761,152694,samples
9203706,158635,interpolates
9185102,19811,samples
9234622,3720673,interpolates
9236197,1115584,samples
9231905,1520683,samples
118766,3998368,interpolates
118766,349933,interpolates
118766,1179821,interpolates
